Date,Open,High,Low,Close,Volume,Adj Close
2009/1/1,,,,,,
2009/1/2,902.99,934.73,899.35,931.8,4048270000,931.8
2009/1/3,,,,,,
2009/1/4,,,,,,
2009/1/5,929.17,936.63,919.53,927.45,5413910000,927.45
2009/1/6,931.17,943.85,927.28,934.7,5392620000,934.7
2009/1/7,927.45,927.45,902.37,906.65,4704940000,906.65
2009/1/8,905.73,910,896.81,909.73,4991550000,909.73
2009/1/9,909.91,911.93,888.31,890.35,4716500000,890.35
2009/1/10,,,,,,
2009/1/11,,,,,,
2009/1/12,890.4,890.4,864.32,870.26,4725050000,870.26
2009/1/13,869.79,877.02,862.02,871.79,5567460000,871.79
2009/1/14,867.28,867.28,836.93,842.62,5407880000,842.62
2009/1/15,841.99,851.59,817.04,843.74,7807350400,843.74
2009/1/16,844.45,858.13,830.66,850.12,6786040000,850.12
2009/1/17,,,,,,
2009/1/18,,,,,,
2009/1/19,,,,,,
2009/1/20,849.64,849.64,804.47,805.22,6375230000,805.22
2009/1/21,806.77,841.72,804.3,840.24,6467830000,840.24
2009/1/22,839.74,839.74,811.29,827.5,5843830000,827.5
2009/1/23,822.16,838.61,806.07,831.95,5832160000,831.95
2009/1/24,,,,,,
2009/1/25,,,,,,
2009/1/26,832.5,852.53,827.69,836.57,6039940000,836.57
2009/1/27,837.3,850.45,835.4,845.71,5353260000,845.71
2009/1/28,845.73,877.86,845.73,874.09,6199180000,874.09
2009/1/29,868.89,868.89,844.15,845.14,5067060000,845.14
2009/1/30,845.69,851.66,821.67,825.88,5350580000,825.88
2009/1/31,,,,,,
2009/2/1,,,,,,
2009/2/2,823.09,830.78,812.87,825.44,5673270000,825.44
2009/2/3,825.69,842.6,821.98,838.51,5886310000,838.51
2009/2/4,837.77,851.85,829.18,832.23,6420450000,832.23
2009/2/5,831.75,850.55,819.91,845.85,6624030000,845.85
2009/2/6,846.09,870.75,845.42,868.6,6484100000,868.6
2009/2/7,,,,,,
2009/2/8,,,,,,
2009/2/9,868.24,875.01,861.65,869.89,5574370000,869.89
2009/2/10,866.87,868.05,822.99,827.16,6770169600,827.16
2009/2/11,827.41,838.22,822.3,833.74,5926460000,833.74
2009/2/12,829.91,835.48,808.06,835.19,6476460000,835.19
2009/2/13,833.95,839.43,825.21,826.84,5296650000,826.84
2009/2/14,,,,,,
2009/2/15,,,,,,
2009/2/16,,,,,,
2009/2/17,818.61,818.61,789.17,789.17,5907820000,789.17
2009/2/18,791.06,796.17,780.43,788.42,5740710000,788.42
2009/2/19,787.91,797.58,777.03,778.94,5746940000,778.94
2009/2/20,775.87,778.69,754.25,770.05,8210590400,770.05
2009/2/21,,,,,,
2009/2/22,,,,,,
2009/2/23,773.25,777.85,742.37,743.33,6509300000,743.33
2009/2/24,744.69,775.49,744.69,773.14,7234489600,773.14
2009/2/25,770.64,780.12,752.89,764.9,7483640000,764.9
2009/2/26,765.76,779.42,751.75,752.83,7599969600,752.83
2009/2/27,749.93,751.27,734.52,735.09,8926480000,735.09
2009/2/28,,,,,,
2009/3/1,,,,,,
2009/3/2,729.57,729.57,699.7,700.82,7868289600,700.82
2009/3/3,704.44,711.67,692.3,696.33,7583230400,696.33
2009/3/4,698.6,724.12,698.6,712.87,7673620000,712.87
2009/3/5,708.27,708.27,677.93,682.55,7507249600,682.55
2009/3/6,684.04,699.09,666.79,683.38,7331830400,683.38
2009/3/7,,,,,,
2009/3/8,,,,,,
2009/3/9,680.76,695.27,672.88,676.53,7277320000,676.53
2009/3/10,679.28,719.6,679.28,719.6,8618329600,719.6
2009/3/11,719.59,731.92,713.85,721.36,7287809600,721.36
2009/3/12,720.89,752.63,714.76,750.74,7326630400,750.74
2009/3/13,751.97,758.29,742.46,756.55,6787089600,756.55
2009/3/14,,,,,,
2009/3/15,,,,,,
2009/3/16,758.84,774.53,753.37,753.89,7883540000,753.89
2009/3/17,753.88,778.12,749.93,778.12,6156800000,778.12
2009/3/18,776.01,803.04,765.64,794.35,9098449600,794.35
2009/3/19,797.92,803.24,781.82,784.04,9033870400,784.04
2009/3/20,784.58,788.91,766.2,768.54,7643720000,768.54
2009/3/21,,,,,,
2009/3/22,,,,,,
2009/3/23,772.31,823.37,772.31,822.92,7715769600,822.92
2009/3/24,820.6,823.65,805.48,806.12,6767980000,806.12
2009/3/25,806.81,826.78,791.37,813.88,7687180000,813.88
2009/3/26,814.06,832.98,814.06,832.86,6992960000,832.86
2009/3/27,828.68,828.68,813.43,815.94,5600210000,815.94
2009/3/28,,,,,,
2009/3/29,,,,,,
2009/3/30,809.07,809.07,779.81,787.53,5912660000,787.53
2009/3/31,790.88,810.48,790.88,797.87,6089100000,797.87
2009/4/1,793.59,813.62,783.32,811.08,6034140000,811.08
2009/4/2,814.53,845.61,814.53,834.38,7542809600,834.38
2009/4/3,835.13,842.5,826.7,842.5,5855640000,842.5
2009/4/4,,,,,,
2009/4/5,,,,,,
2009/4/6,839.75,839.75,822.79,835.48,6210000000,835.48
2009/4/7,834.12,834.12,814.53,815.55,5155580000,815.55
2009/4/8,816.76,828.42,814.84,825.16,5938460000,825.16
2009/4/9,829.29,856.91,829.29,856.56,7600710400,856.56
2009/4/10,,,,,,
2009/4/11,,,,,,
2009/4/12,,,,,,
2009/4/13,855.33,864.31,845.35,858.73,6434890000,858.73
2009/4/14,856.88,856.88,840.25,841.5,7569840000,841.5
2009/4/15,839.44,852.93,835.58,852.06,6241100000,852.06
2009/4/16,854.54,870.35,847.04,865.3,6598670000,865.3
2009/4/17,865.18,875.63,860.87,869.6,7352009600,869.6
2009/4/18,,,,,,
2009/4/19,,,,,,
2009/4/20,868.27,868.27,832.39,832.39,6973960000,832.39
2009/4/21,831.25,850.09,826.83,850.08,7436489600,850.08
2009/4/22,847.26,861.78,840.57,843.55,7327860000,843.55
2009/4/23,844.62,852.87,835.45,851.92,6563100000,851.92
2009/4/24,853.91,871.8,853.91,866.23,7114440000,866.23
2009/4/25,,,,,,
2009/4/26,,,,,,
2009/4/27,862.82,868.83,854.65,857.51,5613460000,857.51
2009/4/28,854.48,864.48,847.12,855.16,6328000000,855.16
2009/4/29,856.85,882.06,856.85,873.64,6101620000,873.64
2009/4/30,876.59,888.7,868.51,872.81,6862540000,872.81
2009/5/1,872.74,880.48,866.1,877.52,5312170000,877.52
2009/5/2,,,,,,
2009/5/3,,,,,,
2009/5/4,879.21,907.85,879.21,907.24,7038840000,907.24
2009/5/5,906.1,907.7,897.34,903.8,6882860000,903.8
2009/5/6,903.95,920.28,903.95,919.53,8555040000,919.53
2009/5/7,919.58,929.58,901.36,907.39,9120100000,907.39
2009/5/8,909.03,930.17,909.03,929.23,8163280000,929.23
2009/5/9,,,,,,
2009/5/10,,,,,,
2009/5/11,922.99,922.99,908.68,909.24,6150600000,909.24
2009/5/12,910.52,915.57,896.46,908.35,6871750400,908.35
2009/5/13,905.4,905.4,882.8,883.92,7091820000,883.92
2009/5/14,884.24,898.36,882.52,893.07,6134870000,893.07
2009/5/15,892.76,896.97,878.94,882.88,5439720000,882.88
2009/5/16,,,,,,
2009/5/17,,,,,,
2009/5/18,886.07,910,886.07,909.71,5702150000,909.71
2009/5/19,909.67,916.39,905.22,908.13,6616270000,908.13
2009/5/20,908.62,924.6,901.37,903.47,8205060000,903.47
2009/5/21,900.42,900.42,879.61,888.33,6019840000,888.33
2009/5/22,888.68,896.65,883.75,887,5155320000,887
2009/5/23,,,,,,
2009/5/24,,,,,,
2009/5/25,,,,,,
2009/5/26,887,911.76,881.46,910.33,5667050000,910.33
2009/5/27,909.95,913.84,891.87,893.06,5698800000,893.06
2009/5/28,892.96,909.45,887.6,906.83,5738980000,906.83
2009/5/29,907.02,920.02,903.56,919.14,6050420000,919.14
2009/5/30,,,,,,
2009/5/31,,,,,,
